# Column 0: Device name							
# Column 1: Number of amplifiers						
# Column 2: Pixels x							
# Column 3: Pixels y						
# Column 0: Amplifier name							
# Column 1-4: x min, x max, y min, y max (pixels)
# Column 5-6: readout direction x, readout direction y	
# Column 7: Gain							
# Column 8: % variation							
# Column 9: Bias level							
# Column 10: % variation							
# Column 11-12: ?							
# Column 13: Dark current							
# Column 14-16: ?							
# Column 17: Hot pixel rate							
# Column 18: Hot column rate					
S10_C1	1024	2047	0	4095	1	1	4.5	3	1000	2	7	3	0.007	0	4	1	0.00025	0.00025
S11	2	2048	4096															
S11_C0	0	1023	0	4095	-1	-1	4.5	3	1000	2	7	3	0.007	0	4	1	0.00025	0.00025
S11_C1	1024	2047	0	4095	1	1	4.5	3	1000	2	7	3	0.007	0	4	1	0.00025	0.00025
S12	2	2048	4096															
S12_C0	0	1023	0	4095	-1	-1	4.5	3	1000	2	7	3	0.007	0	4	1	0.00025	0.00025
S12_C1	1024	2047	0	4095	1	1	4.5	3	1000	2	7	3	0.007	0	4	1	0.00025	0.00025
S13	2	2048	4096															
S13_C0	0	1023	0	4095	-1	-1	4.5	3	1000	2	7	3	0.007	0	4	1	0.00025	0.00025
S13_C1	1024	2047	0	4095	1	1	4.5	3	1000	2	7	3	0.007	0	4	1	0.00025	0.00025
S1	2	2048	4096															
S1_C0	0	1023	0	4095	-1	-1	4.5	3	1000	2	7	3	0.007	0	4	1	0.00025	0.00025
S1_C1	1024	2047	0	4095	1	1	4.5	3	1000	2	7	3	0.007	0	4	1	0.00025	0.00025
S2	2	2048	4096															
S2_C0	0	1023	0	4095	-1	-1	4.5	3	1000	2	7	3	0.007	0	4	1	0.00025	0.00025
S2_C1	1024	2047	0	4095	1	1	4.5	3	1000	2	7	3	0.007	0	4	1	0.00025	0.00025
S3	2	2048	4096															
S3_C0	0	1023	0	4095	-1	-1	4.5	3	1000	2	7	3	0.007	0	4	1	0.00025	0.00025
S3_C1	1024	2047	0	4095	1	1	4.5	3	1000	2	7	3	0.007	0	4	1	0.00025	0.00025
S4	2	2048	4096															
S4_C0	0	1023	0	4095	-1	-1	4.5	3	1000	2	7	3	0.007	0	4	1	0.00025	0.00025
S4_C1	1024	2047	0	4095	1	1	4.5	3	1000	2	7	3	0.007	0	4	1	0.00025	0.00025
S5	2	2048	4096															
S5_C0	0	1023	0	4095	-1	-1	4.5	3	1000	2	7	3	0.007	0	4	1	0.00025	0.00025
S5_C1	1024	2047	0	4095	1	1	4.5	3	1000	2	7	3	0.007	0	4	1	0.00025	0.00025
S6	2	2048	4096															
S6_C0	0	1023	0	4095	-1	-1	4.5	3	1000	2	7	3	0.007	0	4	1	0.00025	0.00025
S6_C1	1024	2047	0	4095	1	1	4.5	3	1000	2	7	3	0.007	0	4	1	0.00025	0.00025
S7	2	2048	4096															
S7_C0	0	1023	0	4095	-1	-1	4.5	3	1000	2	7	3	0.007	0	4	1	0.00025	0.00025
S7_C1	1024	2047	0	4095	1	1	4.5	3	1000	2	7	3	0.007	0	4	1	0.00025	0.00025
N1	2	2048	4096															
N1_C0	0	1023	0	4095	-1	-1	4.5	3	1000	2	7	3	0.007	0	4	1	0.00025	0.00025
N1_C1	1024	2047	0	4095	1	1	4.5	3	1000	2	7	3	0.007	0	4	1	0.00025	0.00025
N2	2	2048	4096															
N2_C0	0	1023	0	4095	-1	-1	4.5	3	1000	2	7	3	0.007	0	4	1	0.00025	0.00025
N2_C1	1024	2047	0	4095	1	1	4.5	3	1000	2	7	3	0.007	0	4	1	0.00025	0.00025
N3	2	2048	4096															
N3_C0	0	1023	0	4095	-1	-1	4.5	3	1000	2	7	3	0.007	0	4	1	0.00025	0.00025
N3_C1	1024	2047	0	4095	1	1	4.5	3	1000	2	7	3	0.007	0	4	1	0.00025	0.00025
N4	2	2048	4096															
N4_C0	0	1023	0	4095	-1	-1	4.5	3	1000	2	7	3	0.007	0	4	1	0.00025	0.00025
N4_C1	1024	2047	0	4095	1	1	4.5	3	1000	2	7	3	0.007	0	4	1	0.00025	0.00025
N5	2	2048	4096															
N5_C0	0	1023	0	4095	-1	-1	4.5	3	1000	2	7	3	0.007	0	4	1	0.00025	0.00025
N5_C1	1024	2047	0	4095	1	1	4.5	3	1000	2	7	3	0.007	0	4	1	0.00025	0.00025
N6	2	2048	4096															
N6_C0	0	1023	0	4095	-1	-1	4.5	3	1000	2	7	3	0.007	0	4	1	0.00025	0.00025
N6_C1	1024	2047	0	4095	1	1	4.5	3	1000	2	7	3	0.007	0	4	1	0.00025	0.00025
N7	2	2048	4096															
N7_C0	0	1023	0	4095	-1	-1	4.5	3	1000	2	7	3	0.007	0	4	1	0.00025	0.00025
N7_C1	1024	2047	0	4095	1	1	4.5	3	1000	2	7	3	0.007	0	4	1	0.00025	0.00025
N8	2	2048	4096															
N8_C0	0	1023	0	4095	-1	-1	4.5	3	1000	2	7	3	0.007	0	4	1	0.00025	0.00025
N8_C1	1024	2047	0	4095	1	1	4.5	3	1000	2	7	3	0.007	0	4	1	0.00025	0.00025
N9	2	2048	4096															
N9_C0	0	1023	0	4095	-1	-1	4.5	3	1000	2	7	3	0.007	0	4	1	0.00025	0.00025
N9_C1	1024	2047	0	4095	1	1	4.5	3	1000	2	7	3	0.007	0	4	1	0.00025	0.00025
N10	2	2048	4096															
N10_C0	0	1023	0	4095	-1	-1	4.5	3	1000	2	7	3	0.007	0	4	1	0.00025	0.00025
N10_C1	1024	2047	0	4095	1	1	4.5	3	1000	2	7	3	0.007	0	4	1	0.00025	0.00025
N11	2	2048	4096															
N11_C0	0	1023	0	4095	-1	-1	4.5	3	1000	2	7	3	0.007	0	4	1	0.00025	0.00025
N11_C1	1024	2047	0	4095	1	1	4.5	3	1000	2	7	3	0.007	0	4	1	0.00025	0.00025
N12	2	2048	4096															
